タイムスタンプ,観光地名,住所,緯度,経度,ラベル1,ラベル2
2023/9/1,五角の井戸,〒734-0303 広島県呉市豊町沖友1383,34.16246,132.83784,豊町,沖友
2023/9/1,六角の井戸,〒734-0303 広島県呉市豊町沖友1288,34.16302,132.83804,豊町,沖友
2023/9/1,お堀端の散歩道,〒734-0303 広島県呉市豊町沖友466,34.1626,132.83927,豊町,沖友
2023/9/1,和風カサブランカ,〒734-0303 広島県呉市豊町沖友1126,34.16199,132.83945,豊町,沖友
2023/9/1,亀の鬼瓦,〒734-0303 広島県呉市豊町沖友459,34.16196,132.84009,豊町,沖友
2023/9/1,控えめなお屋敷,〒734-0303 広島県呉市豊町沖友465,34.16232,132.83977,豊町,沖友
2023/9/1,歩道のインターチェンジ,〒734-0303 広島県呉市豊町沖友486,34.16214,132.83948,豊町,沖友
2023/9/1,奥の細道,〒734-0303 広島県呉市豊町沖友1012,34.16295,132.83888,豊町,沖友
2023/9/1,鄙びた井戸,〒734-0303 広島県呉市豊町沖友1022,34.16216,132.83961,豊町,沖友
2023/9/1,屋根付きの井戸,〒734-0303 広島県呉市豊町沖友451,34.16173,132.84005,豊町,沖友
2023/9/1,沖友天満宮,〒734-0303 広島県呉市豊町沖友396,34.16056,132.84049,豊町,沖友
2023/9/1,天満宮の牛,〒734-0303 広島県呉市豊町沖友396,34.16062,132.84054,豊町,沖友
2023/9/1,天満宮のぎょ！,〒734-0303 広島県呉市豊町沖友400,34.16087,132.8404,豊町,沖友
2023/9/1,よく遊び、よく学べ（沖友小学校跡地）,〒734-0303 広島県呉市豊町沖友1132,34.16137,132.83946,豊町,沖友
2023/9/1,みかん蔵,〒734-0303 広島県呉市豊町沖友,34.16055,132.83944,豊町,沖友
2023/9/1,小さな神社,〒734-0303 広島県呉市豊町沖友,34.15972,132.83943,豊町,沖友
2023/9/1,三軒長屋の窓,〒734-0304 広島県呉市豊町久比2448−3,34.1837,132.82883,豊町,久比
2023/9/1,久比の入江,〒734-0304 広島県呉市豊町久比,34.18559,132.82881,豊町,久比
2023/9/1,見どころ満載「称名寺」,〒734-0304 広島県呉市豊町久比2326,34.18232,132.83085,豊町,久比
2023/9/1,屋根瓦にご注目!,〒734-0304 広島県呉市豊町久比2326,34.1823,132.83099,豊町,久比
2023/9/1,欧風の窓,〒734-0304 広島県呉市豊町久比2326,34.18204,132.83083,豊町,久比
2023/9/1,和洋合体,〒734-0304 広島県呉市豊町久比2426−8,34.18408,132.82949,豊町,久比
2023/9/1,「久比」印の瓦,〒734-0304 広島県呉市豊町久比2450,34.18448,132.82875,豊町,久比
2023/9/1,土に埋もれた橋,〒734-0304 広島県呉市豊町久比2321−4,34.18169,132.83087,豊町,久比
2023/9/1,ループ橋,〒734-0304 広島県呉市豊町久比,34.18432,132.83234,豊町,久比
2023/9/1,篠原八幡宮,〒734-0304 広島県呉市豊町久比字岡401,34.18395,132.83242,豊町,久比
2023/9/1,六角ナットの鳥居,〒734-0304 広島県呉市豊町久比273−1,34.18385,132.83222,豊町,久比
2023/9/1,10分間のミニクルーズ,〒734-0304 広島県呉市豊町久比,34.18775,132.83208,豊町,久比
2023/9/1,通学路途中の足長小学生,〒734-0302 広島県呉市豊町御手洗,34.17874,132.86753,豊町,御手洗
2023/9/1,パステルカラーの洋館,〒734-0302 広島県呉市豊町御手洗363,34.17733,132.86776,豊町,御手洗
2023/9/1,海沿いの「三軒長屋の船宿」,〒734-0302 広島県呉市豊町御手洗325,34.17805,132.86814,豊町,御手洗
2023/9/1,レトロな郵便ポスト,〒734-0302 広島県呉市豊町御手洗324,34.17816,132.86816,豊町,御手洗
2023/9/1,昇り龍の「うだつ」,〒734-0302 広島県呉市豊町御手洗313,34.17877,132.86803,豊町,御手洗
2023/9/1,歴史の見える丘公園からの景観,〒734-0302 広島県呉市豊町御手洗365,34.17709,132.86547,豊町,御手洗
2023/9/1,神社へ渡る太鼓橋,〒734-0302 広島県呉市豊町御手洗 住吉神社,34.17744,132.86837,豊町,御手洗
2023/9/1,幸せのレリーフ,〒734-0302 広島県呉市豊町御手洗340,34.17675,132.8683,豊町,御手洗
2023/9/1,御手洗のシンボル「高燈篭」,〒734-0302 広島県呉市豊町御手洗,34.17755,132.8684,豊町,御手洗
2023/9/1,弁天社の赤い鳥居,〒734-0302 広島県呉市豊町御手洗64,34.17985,132.8652,豊町,御手洗
2023/9/1,江戸情緒の路地裏散策,〒734-0302 広島県呉市豊町御手洗,34.17957,132.86642,豊町,御手洗
2023/9/1,昔の船着き場「雁木（がんぎ）」,〒734-0302 広島県呉市豊町御手洗251,34.18021,132.8678,豊町,御手洗
2023/9/1,商売繁盛を願うならココ,〒734-0302 広島県呉市豊町御手洗248−2,34.18003,132.86791,豊町,御手洗
2023/9/1,語りかける「石」,〒734-0302 広島県呉市豊町御手洗,34.179,132.86597,豊町,御手洗
2023/9/1,異国情緒のテラス,〒734-0302 広島県呉市豊町御手洗248,34.1797,132.86753,豊町,御手洗
2023/9/1,潮待ちの船宿,〒734-0302 広島県呉市豊町御手洗259,34.17978,132.86793,豊町,御手洗
2023/9/1,御手洗のお手洗,〒734-0302 広島県呉市豊町御手洗255−4,34.17975,132.86832,豊町,御手洗
2023/9/1,船乗りの楽園「若胡子屋」跡,〒734-0302 広島県呉市豊町御手洗149,34.179,132.8663,豊町,御手洗
2023/9/1,満州寺の石垣,〒734-0302 広島県呉市豊町御手洗310,34.17875,132.86722,豊町,御手洗
2023/9/1,名人のいる老舗時計店,〒734-0302 広島県呉市豊町御手洗226,34.17945,132.86711,豊町,御手洗
2023/9/1,とらわれの竜,〒734-0301 広島県呉市豊町大長5888−1,34.18289,132.85382,豊町,大長
2023/9/1,鬼瓦ならぬ蛸瓦,〒734-0301 広島県呉市豊町大長5867−2,34.18338,132.85511,豊町,大長
2023/9/1,航海安全を見守る東風崎神社,〒734-0301 広島県呉市豊町大長5982−11,34.1848,132.85782,豊町,大長
2023/9/1,壁に「目」あり,〒734-0301 広島県呉市豊町大長5459,34.18201,132.85216,豊町,大長
2023/9/1,2階のドアは誰のため？？,〒734-0301 広島県呉市豊町大長5866−2,34.18312,132.85539,豊町,大長
2023/9/1,幾何学的な壁,〒734-0301 広島県呉市豊町大長5973−1,34.18412,132.85616,豊町,大長
2023/9/1,大長港のオレンジフォン,〒734-0301 広島県呉市豊町大長,34.18485,132.8583,豊町,大長
2023/9/1,建物の目玉みたいな窓,〒734-0301 広島県呉市豊町大長5440,34.18208,132.85266,豊町,大長
2023/9/1,あんなところになまこ壁,〒734-0301 広島県呉市豊町大長5831,34.18225,132.8542,豊町,大長
2023/9/1,小動物の瓦細工,〒734-0301 広島県呉市豊町大長5776−1,34.18166,132.85394,豊町,大長
2023/9/1,キスする石垣,〒734-0301 広島県呉市豊町大長5324,34.18011,132.85416,豊町,大長
2023/9/1,パワースポット「ホルトの木」,〒734-0301 広島県呉市豊町大長4980−1,34.1815,132.8547,豊町,大長
2023/9/1,きりりとした洋館,〒734-0301 広島県呉市豊町大長5908−2,34.18182,132.85722,豊町,大長
2023/9/1,朝日の昇る窓,〒734-0301 広島県呉市豊町大長5281−5,34.1797,132.85375,豊町,大長
2023/9/1,波のしゃちほこ,〒734-0301 広島県呉市豊町大長5347−1,34.18065,132.85457,豊町,大長
